,county_name,precinct,Ward2,Precinct,candidate,candidate_normalized,party,mode,votes,religious_voting_place,party2
0,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 10,4,10,Darrell Castle,castle,us taxpayers,total,2,0,other
1,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 10,4,10,Hillary Clinton,clinton,democratic,total,643,0,democratic
2,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 10,4,10,Gary Johnson,johnson,libertarian,total,35,0,other
3,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 10,4,10,Jill Stein,stein,green,total,7,0,other
4,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 10,4,10,Donald Trump,trump,republican,total,160,0,republican
5,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 10,4,10,Emidio Soltysik,soltysik,natural law party,total,0,0,other
6,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 3,1,3,Darrell Castle,castle,us taxpayers,total,2,0,other
7,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 3,1,3,Hillary Clinton,clinton,democratic,total,596,0,democratic
8,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 3,1,3,Gary Johnson,johnson,libertarian,total,18,0,other
9,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 3,1,3,Jill Stein,stein,green,total,9,0,other
10,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 3,1,3,Donald Trump,trump,republican,total,31,0,republican
11,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 3,1,3,Emidio Soltysik,soltysik,natural law party,total,0,0,other
12,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 5,1,5,Darrell Castle,castle,us taxpayers,total,1,0,other
13,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 5,1,5,Hillary Clinton,clinton,democratic,total,939,0,democratic
14,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 5,1,5,Gary Johnson,johnson,libertarian,total,19,0,other
15,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 5,1,5,Jill Stein,stein,green,total,16,0,other
16,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 5,1,5,Donald Trump,trump,republican,total,79,0,republican
17,Washtenaw County,ANN ARBOR CITY; Ward 1; Precinct 5,1,5,Emidio Soltysik,soltysik,natural law party,total,0,0,other
18,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 5,4,5,Darrell Castle,castle,us taxpayers,total,0,1,other
19,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 5,4,5,Hillary Clinton,clinton,democratic,total,1061,1,democratic
20,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 5,4,5,Gary Johnson,johnson,libertarian,total,41,1,other
21,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 5,4,5,Jill Stein,stein,green,total,38,1,other
22,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 5,4,5,Donald Trump,trump,republican,total,140,1,republican
23,Washtenaw County,ANN ARBOR CITY; Ward 4; Precinct 5,4,5,Emidio Soltysik,soltysik,natural law party,total,1,1,other
24,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 10,5,10,Darrell Castle,castle,us taxpayers,total,8,0,other
25,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 10,5,10,Hillary Clinton,clinton,democratic,total,1253,0,democratic
26,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 10,5,10,Gary Johnson,johnson,libertarian,total,44,0,other
27,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 10,5,10,Jill Stein,stein,green,total,31,0,other
28,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 10,5,10,Donald Trump,trump,republican,total,298,0,republican
29,Washtenaw County,ANN ARBOR CITY; Ward 5; Precinct 10,5,10,Emidio Soltysik,soltysik,natural law party,total,1,0,other
30,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 9,2,9,Darrell Castle,castle,us taxpayers,total,2,0,other
31,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 9,2,9,Hillary Clinton,clinton,democratic,total,1224,0,democratic
32,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 9,2,9,Gary Johnson,johnson,libertarian,total,39,0,other
33,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 9,2,9,Jill Stein,stein,green,total,15,0,other
34,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 9,2,9,Donald Trump,trump,republican,total,252,0,republican
35,Washtenaw County,ANN ARBOR CITY; Ward 2; Precinct 9,2,9,Emidio Soltysik,soltysik,natural law party,total,1,0,other
36,Washtenaw County,ANN ARBOR CITY; Ward 3; Precinct 6,3,6,Darrell Castle,castle,us taxpayers,total,3,0,other
