id,place_of_worship,address ,State,zipcode,ward
1,New Hope Baptist Church,218 Chapin StAnn Arbor,MI,48103,4
2,Huron Hills Church,3150 Glazier WayAnn Arbor,MI,48105,2
3,St Mary Student Parish,331 Thompson StAnn Arbor,MI,48104,2
4,Bethel A M E Church,900 John A Woods DrAnn Arbor,MI,48105,2
5,St Paul Lutheran Church,420 W Liberty StAnn Arbor,MI,48103,4
6,First Presbyterian Church of Ann Arbor,1432 Washtenaw AveAnn Arbor,MI,48104,2
7,Bible Tabernacle,825 N Maple RdAnn Arbor,MI,48103,4
8,Harvest of Victory Church,2900 Jackson AveAnn Arbor,MI,48103,4
9,St Aidan's Episcopal Church,1679 Broadway StAnn Arbor,MI,48105,2
10,St. Mary Coptic Orthodox Church,929 Barton DrAnn Arbor,MI,48105,2
11,First Congregational Church,608 E William StAnn Arbor,MI,48104,2
12,Temple Beth Emeth,2309 Packard StAnn Arbor,MI,48104,2
13,Chinmaya Mission Ann Arbor,4760 Packard StAnn Arbor,MI,48108,3
14,Memorial Christian Church,5141 Platt RdAnn Arbor,MI,48108,3
15,Shekinah Christian Church,4600 Scio Church RdAnn Arbor,MI,48103,4
16,Accelerate Church,6075 Jackson RdAnn Arbor,MI,48103,4
17,Islamic Center Of Ann Arbor,2301 Plymouth RdAnn Arbor,MI,48105,2
18,Unity On Campus,617 E University Ave Ste 226Ann Arbor,MI,48104,2
19,Chinese Christian Fellowship,4205 Washtenaw AveAnn Arbor,MI,48108,3
20,Christ the King Catholic Church,4000 Ave MariaAnn Arbor,MI,48105,2
21,St Andrews Episcopal Church,306 N Division StAnn Arbor,MI,48104,2
22,Saint Clare's Episcopal Church,2309 Packard StAnn Arbor,MI,48104,2
23,Crossroads Community Baptist,2580 Packard StAnn Arbor,MI,48104,2
24,Second Baptist Church,850 Red Oak RdAnn Arbor,MI,48103,4
25,Episcopal Church Of The Incarnation,3257 Lohr RdAnn Arbor,MI,48108,3
26,St Paul Missionary Baptist Church,3630 Platt RdAnn Arbor,MI,48108,3
27,Interfaith Center For Spiritual Growth,704 Airport BlvdAnn Arbor,MI,48108,3
28,West Side United Methodist Church,900 S 7th StAnn Arbor,MI,48103,4
29,"Vineyard, Church of Ann Arbor",2275 Platt RdAnn Arbor,MI,48104,2
30,First United Methodist Church,120 S State StAnn Arbor,MI,48104,2
31,First Baptist Church,517 E Washington StAnn Arbor,MI,48104,2
32,Ann Arbor Christian Reformed Church,1717 Broadway StAnn Arbor,MI,48105,2
33,Ann Arbor Seventh Day,2796 Packard StAnn Arbor,MI,48108,3
34,Westminster Presbyterian Church,1500 Scio Church RdAnn Arbor,MI,48103,4
35,Calvary Presbyterian Church,2727 Fernwood AveAnn Arbor,MI,48104,2
36,Grace Bible Church,1300 S Maple RdAnn Arbor,MI,48103,4
37,Detroit Church of Christ,2784 Oakdale DrAnn Arbor,MI,48108,3
38,Jehovah's Witnesses,2211 N Maple RdAnn Arbor,MI,48103,4
39,Scio Community Alliance Church,1293 N Zeeb RdAnn Arbor,MI,48103,4
40,Peace Lutheran Church,8260 Jackson RdAnn Arbor,MI,48103,4
41,Unitarian Universalist Congregation,4001 Ann Arbor Saline RdAnn Arbor,MI,48103,4
42,Word of Life,715 E Huron StAnn Arbor,MI,48104,2
43,Stjohn Pamela,1707 Pauline BlvdAnn Arbor,MI,48103,4
44,Interfaith Council For Peace & Justice,1414 Hill StAnn Arbor,MI,48104,2
45,Campus Chapel,1236 Washtenaw CtAnn Arbor,MI,48104,2
46,Bethlehem United Church of Christ,423 S 4th AveAnn Arbor,MI,48104,2
47,First Church of Christ Scientist,1833 Washtenaw AveAnn Arbor,MI,48104,2
48,New Life Church,1541 Washtenaw AveAnn Arbor,MI,48104,2
49,Ann Arbor Friends Meeting,1420 Hill StAnn Arbor,MI,48104,2
50,Quaker Meeting,1420 Hill StAnn Arbor,MI,48104,2
51,Taiwanese Community Ncd Presbyterian Church,1432 Washtenaw AveAnn Arbor,MI,48104,2
52,Lord of Light Lutheran Church Elca,801 S Forest AveAnn Arbor,MI,48104,2
53,Ann Arbor Unitarian Fellowship,1320 Baldwin AveAnn Arbor,MI,48104,2
54,Korean Presbyterian,2141 Brockman BlvdAnn Arbor,MI,48104,2
55,St Francis Of Assisi Church,2270 E Stadium BlvdAnn Arbor,MI,48104,2
56,St Francis of Assisi Church Office,2150 Frieze AveAnn Arbor,MI,48104,2
57,Intervarsity Christian Fellowshipusa,203 Nickels ArcAnn Arbor,MI,48104,2
58,Harvest Mission Community Church,1001 E Huron StAnn Arbor,MI,48104,2
59,Ann Arbor Korean Assembly of God,2455 Washtenaw AveAnn Arbor,MI,48104,2
60,First Church Of Christ Scientist Reading Room,306 E Liberty StAnn Arbor,MI,48104,2
61,Memorial Christian Church,1900 Manchester RdAnn Arbor,MI,48104,2
62,Journey Of Faith Christian Church,1900 Manchester RdAnn Arbor,MI,48104,2
63,Oasis Ministry,306 N Division StAnn Arbor,MI,48104,2
64,Fellowship Bible Church,2775 Bedford RdAnn Arbor,MI,48104,2
65,Church Of The Good Shepherd,2145 Independence BlvdAnn Arbor,MI,48104,2
66,Community Of Christ,520 W Jefferson StAnn Arbor,MI,48103,4
67,The Church of Jesus Christ of Latter-Day Saints,520 W Jefferson StAnn Arbor,MI,48103,4
68,Greater Fountain Church Of God,530 W Stadium BlvdAnn Arbor,MI,48103,4
69,International Samaritan,803 N Main StAnn Arbor,MI,48104,2
70,Ann Arbor District United Methodist Church,900 S 7th StAnn Arbor,MI,48103,4
71,Northside Presbyterian Church,1679 Broadway StAnn Arbor,MI,48105,2
72,Redeemer Lutheran Church,1360 Pauline BlvdAnn Arbor,MI,48103,4
73,King Of Kings Lutheran Church,2685 Packard StAnn Arbor,MI,48104,2
74,Ann Arbor Church Of Christ,2500 S Main StAnn Arbor,MI,48103,4
75,St Thomas Catholic Cemetery,300 Sunset RdAnn Arbor,MI,48103,4
76,Trinity Evangelical Lutheran,1400 W Stadium BlvdAnn Arbor,MI,48103,4
77,Zion Lutheran Church,1501 W Liberty StAnn Arbor,MI,48103,4
78,Careers Through Faith,3025 Boardwalk StAnn Arbor,MI,48108,3
79,Christ Church Ann Arbor,929 Barton DrAnn Arbor,MI,48105,2
80,Living Hope Church Of The Nazarene,2780 Packard StAnn Arbor,MI,48108,3
81,First United Methodist Church,1001 Green RdAnn Arbor,MI,48105,2
82,Northside Community Church,929 Barton DrAnn Arbor,MI,48105,2
83,Michigan Dist Lutheran Church-Missouri Synod,3773 Geddes RdAnn Arbor,MI,48105,2
84,New Grace Apostolic Temple,2898 Packard StAnn Arbor,MI,48108,3
85,Northrock Church,3200 Boardwalk StAnn Arbor,MI,48108,3
86,Mission Opportunities Short,4090 Geddes RdAnn Arbor,MI,48105,2
87,Church Of Jesus Christ Of Latter Day Saints,1385 Green RdAnn Arbor,MI,48105,2
88,Calvary Chapel Ann Arbor,3323 Nordman RdAnn Arbor,MI,48108,3
89,Korean Church-Ann Arbor,3301 Creek DrAnn Arbor,MI,48108,3
90,Trinity Presbyterian Church,10101 Plymouth RdAnn Arbor,MI,48105,2
91,Renewal Ministries,230 Collingwood St Ste 240Ann Arbor,MI,48103,4
92,Ann Arbor Central Korean Seventh-Day Adventist Company,3257 Lohr RdAnn Arbor,MI,48108,3
93,2 42 Community Church,410 S Maple RdAnn Arbor,MI,48103,4
94,Radiant Church,410 S Maple RdAnn Arbor,MI,48103,4
95,Jehovah's Witnesses-Arbor Oaks,2000 Champagne DrAnn Arbor,MI,48108,3
96,The Word of God,"3820 Packard, Ste. 200Ann Arbor",MI,48108,3
97,Rev B Cavin Rev,4500 E Huron River DrAnn Arbor,MI,48105,2
98,Marketing & More Inc,2531 Jackson AveAnn Arbor,MI,48103,4
99,Ann Arbor Free Methodist Church,1951 Newport RdAnn Arbor,MI,48103,4
100,Campus Town Church Of Ann Arbor,2600 Nixon RdAnn Arbor,MI,48105,2
101,The Korean United Methodist Church of Ann Arbor,1536 Franklin StAnn Arbor,MI,48103,4
102,Korean Bible Church-Ann Arbor,4220 Packard StAnn Arbor,MI,48108,3
103,Ann Arbor Mennonite Church,1455 Kelly Green DrAnn Arbor,MI,48103,4
104,St. Nicholas Greek Orthodox Church,3109 Scio Church RdAnn Arbor,MI,48103,4
105,Shalom Community Church,1346 Ravenwood StAnn Arbor,MI,48103,4
106,Servants Of Gods Love,3208 Ravenwood StAnn Arbor,MI,48103,4
107,Two Forty Two Community Church,648 S Wagner RdAnn Arbor,MI,48103,4
108,Knox Evangelical Presbyterian Church,2065 S Wagner RdAnn Arbor,MI,48103,4
109,Dominican Sisters Of Mary,24 Frank Lloyd Wright DrAnn Arbor,MI,48105,2
110,Ann Arbor Baptist Church,2150 S Wagner RdAnn Arbor,MI,48103,4
111,Campus Ministries,2835 S Wagner RdAnn Arbor,MI,48103,4
112,Faith Partners,170 Aprill DrAnn Arbor,MI,48103,4
113,Dixboro United Methodist Church,5221 Church RdAnn Arbor,MI,48105,2
114,Shekkinah Regional Apostolic Center,4600 Scio Church RdAnn Arbor,MI,48103,4
115,Solid Rock Church,3823 N Dixboro RdAnn Arbor,MI,48105,2
116,New Apostolic Church,4844 Jackson RdAnn Arbor,MI,48103,4
117,Sisters of Mary,4597 Warren RdAnn Arbor,MI,48105,2
118,Father Giles,4515 Warren RdAnn Arbor,MI,48105,2
119,Covenant Community Church,5171 Jackson RdAnn Arbor,MI,48103,4
120,Old St Patrick Church,5671 Whitmore Lake RdAnn Arbor,MI,48105,2
121,St John's Evangelical Lutheran Church,2945 E Northfield Church RdAnn Arbor,MI,48105,2
122,Christadelphian Ecclesiastic Church,5795 Pontiac TrlAnn Arbor,MI,48105,2
123,Salem Lutheran School,2095 Strieter RdAnn Arbor,MI,48103,4
124,Salem Evangelical Lutheran,7474 Scio Church RdAnn Arbor,MI,48103,4
125,St Thomas Lutheran Church,10001 W Ellsworth RdAnn Arbor,MI,48103,4
126,Ann Arbor Reconstructionist Havurah,Ann Arbor,MI,48103,4
127,Shekinah Christian Church,2455 Washtenaw AveAnn Arbor,MI,48104,2
128,University Lutheran Chapel,1511 Washtenaw AveAnn Arbor,MI,48104,2
129,International Samaritan,614 S Ashley StAnn Arbor,MI,48103,4
130,New Progressive Missionary,5055 Platt RdAnn Arbor,MI,48108,3
131,Hillel Foundation,1429 Hill StAnn Arbor,MI,48104,2
132,Beth Israel Congregation,2000 Washtenaw AveAnn Arbor,MI,48104,2
